symbol,interval,open_time,open,high,low,close,volume,turnover
ETHUSD,1,1628508660,3125.3,3128.1,3125.25,3125.85,1675442,535.99334404
ETHUSD,1,1628508720,3125.85,3126,3111.25,3119,4340147,1391.6802956200038
ETHUSD,1,1628508780,3119,3120.1,3115.9,3115.9,3669167,1176.6857536100017
ETHUSD,1,1628508840,3115.9,3115.95,3110.8,3111.05,1879127,603.6697903400001
ETHUSD,1,1628508900,3111.05,3117.4,3111.05,3112.6,2297895,737.7904958899995
ETHUSD,1,1628508960,3112.6,3117.35,3111.35,3117.2,959259,307.8829147299999
ETHUSD,1,1628509020,3117.2,3120.7,3114.4,3120.7,2241728,719.1024244300006
ETHUSD,1,1628509080,3120.7,3121.9,3119.8,3119.85,2624058,840.7638577200003
ETHUSD,1,1628509140,3119.85,3123.75,3119.25,3121.3,862437,276.2679032699998
ETHUSD,1,1628509200,3121.3,3124.3,3121.25,3124.3,456704,146.2415459299999
ETHUSD,1,1628509260,3124.3,3127.25,3124.3,3127.25,605595,193.71419383000014
ETHUSD,1,1628509320,3127.25,3127.25,3123.6,3127.25,664257,212.5266993299998
ETHUSD,1,1628509380,3127.25,3130.5,3126.45,3130.5,1653144,528.4894650999993
ETHUSD,1,1628509440,3130.5,3132.55,3130.45,3131.95,921326,294.23124411999976
ETHUSD,1,1628509500,3131.95,3133.45,3127.1,3129.4,718774,229.65957937000005
ETHUSD,1,1628509560,3129.4,3133,3129.4,3131.05,530577,169.4246184500001
ETHUSD,1,1628509620,3131.05,3131.05,3123.05,3123.05,1005650,321.7130434300001
ETHUSD,1,1628509680,3123.05,3124,3118.4,3122.45,1115494,357.3693503299998
ETHUSD,1,1628509740,3122.45,3123.65,3121.8,3122.6,489700,156.81016300000002
ETHUSD,1,1628509800,3122.6,3132.35,3122.6,3132.35,3693859,1181.6360787300018
ETHUSD,1,1628509860,3132.35,3136,3132.3,3134.15,1300326,414.8952445200002
ETHUSD,1,1628509920,3134.15,3136.95,3134.15,3135.45,1905132,607.53196728
ETHUSD,1,1628509980,3135.45,3139.55,3135.45,3136.3,3580425,1141.1043628600019
ETHUSD,1,1628510040,3136.3,3138.8,3136.1,3138.65,1225644,390.73634815000037
ETHUSD,1,1628510100,3138.65,3138.65,3126.05,3128.85,5142155,1642.5359350499998
ETHUSD,1,1628510160,3128.85,3129.1,3125.1,3127.9,2247943,718.9784865299996
ETHUSD,1,1628510220,3127.9,3130.3,3127.9,3130.25,864506,276.27262983000014
ETHUSD,1,1628510280,3130.25,3130.3,3126.65,3130.25,1552367,496.2421973100001
ETHUSD,1,1628510340,3130.25,3135.2,3130.25,3135.2,3415602,1090.4846445000003
ETHUSD,1,1628510400,3135.2,3140,3125.5,3126.75,3645247,1163.013835769998
ETHUSD,1,1628510460,3126.75,3127.8,3124.15,3127.8,2210734,707.3011802200004
ETHUSD,1,1628510520,3127.8,3133.9,3124,3132.5,1356323,433.4649074999995
ETHUSD,1,1628510580,3132.5,3132.75,3130.4,3132.7,1051654,335.79027212000005
ETHUSD,1,1628510640,3132.7,3132.75,3126.9,3126.9,1408114,450.0408027000002
ETHUSD,1,1628510700,3126.9,3126.95,3122.65,3123,1956688,626.2362928000006
ETHUSD,1,1628510760,3123,3123,3115.6,3115.6,2751932,882.3287044999985
ETHUSD,1,1628510820,3115.6,3115.65,3111,3113.95,3881896,1247.0986389300006
ETHUSD,1,1628510880,3113.95,3117.45,3112,3115.15,2190610,703.4175950299992
ETHUSD,1,1628510940,3115.15,3115.15,3110.95,3110.95,1799776,578.19631617
ETHUSD,1,1628511000,3110.95,3112.9,3101.65,3112.6,7525063,2422.3362878400058
ETHUSD,1,1628511060,3112.6,3116.2,3112.55,3116.2,1045412,335.7053773599996
ETHUSD,1,1628511120,3116.2,3120.65,3115.45,3120.65,2895023,928.7767576499991
ETHUSD,1,1628511180,3120.65,3122.7,3119.55,3122.15,3320033,1063.7800917500003
ETHUSD,1,1628511240,3122.15,3122.2,3121.65,3121.7,640710,205.24296092000006
ETHUSD,1,1628511300,3121.7,3121.85,3114.9,3114.9,2517048,807.3190784599994
ETHUSD,1,1628511360,3114.9,3115,3111.35,3111.6,1428107,458.70388662000005
ETHUSD,1,1628511420,3111.6,3115,3111.6,3113,847239,272.1079836600001
ETHUSD,1,1628511480,3113,3113.05,3110,3110.05,1335838,429.32225389999957
ETHUSD,1,1628511540,3110.05,3110.05,3104.8,3106.15,1538499,495.33608440999996
ETHUSD,1,1628511600,3106.15,3112.25,3106.15,3112.25,2286514,735.2059752800001
ETHUSD,1,1628511660,3112.25,3113.95,3112.2,3113.95,1587350,509.88530021999924
ETHUSD,1,1628511720,3113.95,3116.6,3113.95,3116.55,1248090,400.7020357300003
ETHUSD,1,1628511780,3116.55,3116.9,3116.55,3116.65,181939,58.375675560000005
ETHUSD,1,1628511840,3116.65,3116.65,3113.7,3113.7,882701,283.3641062899999
ETHUSD,1,1628511900,3113.7,3118.05,3113.7,3118,592635,190.17707187000002
ETHUSD,1,1628511960,3118,3124.8,3118,3124.8,1158714,371.22695879999895
ETHUSD,1,1628512020,3124.8,3125.75,3122,3122,1742921,557.8173397700001
ETHUSD,1,1628512080,3122,3123.1,3120.8,3120.8,912714,292.3197629299999
ETHUSD,1,1628512140,3120.8,3123.1,3120.8,3123.1,259175,83.02007570000004
ETHUSD,1,1628512200,3123.1,3125.55,3121.85,3125.55,605539,193.9081514100002
ETHUSD,1,1628512260,3125.55,3133.95,3125.55,3132.7,3799786,1213.7780824299964
ETHUSD,1,1628512320,3132.7,3132.75,3128.15,3129.2,912952,291.70007005
ETHUSD,1,1628512380,3129.2,3129.2,3120.5,3120.5,1554546,497.6459143899995
ETHUSD,1,1628512440,3120.5,3120.5,3113.65,3117,1700308,545.5105702099997
ETHUSD,1,1628512500,3117,3123.4,3116.95,3119.05,1278581,409.72456315000017
ETHUSD,1,1628512560,3119.05,3119.05,3113.25,3115,2689868,863.7680306699999
ETHUSD,1,1628512620,3115,3115,3114.95,3115,301739,96.86779628000004
ETHUSD,1,1628512680,3115,3115.6,3114.95,3115.55,548443,176.05836905999982
ETHUSD,1,1628512740,3115.55,3118.6,3115.55,3118.6,507872,162.90670466999998
ETHUSD,1,1628512800,3118.6,3122.25,3118.55,3122.25,335932,107.66194707000012
ETHUSD,1,1628512860,3122.25,3124.8,3119.85,3120,1081361,346.4202792800003
ETHUSD,1,1628512920,3120,3121.2,3119.55,3121.1,404484,129.62980162000005
ETHUSD,1,1628512980,3121.1,3124.15,3120.5,3123,486065,155.6559203900001
ETHUSD,1,1628513040,3123,3123,3119.55,3119.65,543897,174.31131691999983
ETHUSD,1,1628513100,3119.65,3124.35,3119.6,3123.2,951743,304.7429626699999
ETHUSD,1,1628513160,3123.2,3123.25,3120.2,3122.95,161192,51.633382559999994
ETHUSD,1,1628513220,3122.95,3127.9,3120.95,3125.1,1886649,603.8200363500001
ETHUSD,1,1628513280,3125.1,3125.25,3124.5,3125.15,273781,87.61035663000001
ETHUSD,1,1628513340,3125.15,3125.2,3120.85,3120.85,223265,71.49389031000001
ETHUSD,1,1628513400,3120.85,3120.9,3119.65,3119.95,240125,76.95055526999988
ETHUSD,1,1628513460,3119.95,3121.8,3119.2,3119.85,298604,95.71398726999999
ETHUSD,1,1628513520,3119.85,3119.95,3119,3119.05,209934,67.30174731000002
ETHUSD,1,1628513580,3119.05,3121.25,3119,3121.25,1154647,370.03598974000016
ETHUSD,1,1628513640,3121.25,3121.25,3118.55,3118.6,119070,38.16387745
ETHUSD,1,1628513700,3118.6,3122.1,3118.25,3122.1,224477,71.96847320000006
ETHUSD,1,1628513760,3122.1,3125.6,3122.1,3125.55,354619,113.49913940000008
ETHUSD,1,1628513820,3125.55,3127.75,3125.4,3127.7,390195,124.79287788000006
ETHUSD,1,1628513880,3127.7,3128,3125.3,3128,607220,194.19467496999997
ETHUSD,1,1628513940,3128,3137.95,3127.25,3136.35,2763272,882.2487697099995
ETHUSD,1,1628514000,3136.35,3152.5,3136.2,3150.55,8419535,2675.2203914000133
ETHUSD,1,1628514060,3150.55,3156.85,3145.6,3148.1,7032792,2230.850394689998
ETHUSD,1,1628514120,3148.1,3152.95,3144.3,3144.85,2838069,901.3845920899998
ETHUSD,1,1628514180,3144.85,3147.45,3144.55,3146.6,2215878,704.25726265
ETHUSD,1,1628514240,3146.6,3146.65,3135.85,3135.95,1902078,605.64043408
ETHUSD,1,1628514300,3135.95,3135.95,3126.6,3127.5,5394924,1723.6985361000002
ETHUSD,1,1628514360,3127.5,3127.9,3122,3123.3,1210847,387.6284381499999
ETHUSD,1,1628514420,3123.3,3126.4,3118.25,3118.75,1297189,415.47719218999987
ETHUSD,1,1628514480,3118.75,3120.85,3116.05,3120.85,1549883,497.07651444000004
ETHUSD,1,1628514540,3120.85,3122.95,3120,3120.1,1644390,526.7182603300002
ETHUSD,1,1628514600,3120.1,3120.25,3116.85,3117.15,752627,241.25879912999983
ETHUSD,1,1628514660,3117.15,3123,3117.15,3122.1,432510,138.58426821000006
ETHUSD,1,1628514720,3122.1,3123.15,3119.9,3122.25,503045,161.13054813000005
ETHUSD,1,1628514780,3122.25,3128.3,3122.25,3128.25,986310,315.5528306799997
ETHUSD,1,1628514840,3128.25,3130.5,3127.05,3129.25,1585735,506.7532368700002
ETHUSD,1,1628514900,3129.25,3129.7,3121.65,3123,519593,166.25140359999995
ETHUSD,1,1628514960,3123,3124.1,3122,3123.2,581432,186.18042222000005
ETHUSD,1,1628515020,3123.2,3124,3121.75,3121.8,844808,270.4781624899999
ETHUSD,1,1628515080,3121.8,3121.8,3120.55,3120.9,120970,38.76164992000001
ETHUSD,1,1628515140,3120.9,3123.8,3120.7,3123.75,543998,174.26375292000012
ETHUSD,1,1628515200,3123.75,3131.6,3123.75,3130.6,2775430,887.212445980001
ETHUSD,1,1628515260,3130.6,3131.85,3128.6,3131.85,441542,141.0425137600002
ETHUSD,1,1628515320,3131.85,3138.3,3131.8,3137.7,2466522,786.5295170299994
ETHUSD,1,1628515380,3137.7,3138.55,3135.8,3135.8,2218852,707.2347318200004
ETHUSD,1,1628515440,3135.8,3135.85,3131.9,3133,1125711,359.2708371699999
ETHUSD,1,1628515500,3133,3133.05,3132.75,3132.75,411993,131.50282849999994
ETHUSD,1,1628515560,3132.75,3134.7,3132.5,3134.7,685335,218.72849648000005
ETHUSD,1,1628515620,3134.7,3134.95,3134.65,3134.95,409799,130.72965081000004
ETHUSD,1,1628515680,3134.95,3138.55,3134.95,3138.5,337290,107.52059175999992
ETHUSD,1,1628515740,3138.5,3138.8,3136.85,3138.75,445151,141.86776289999986
ETHUSD,1,1628515800,3138.75,3145.1,3138.75,3145.05,1306715,415.96481526
